k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
9,1.10625,0.5,1.015529207090884,"{0: 1.015529207090884, 1: 0.9321044250602363}",138.52659962937696,17.533562403987162,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.1625,0.5,0.9741451837831978,"{0: 0.9741451837831978, 1: 0.9395885968504211}",137.9029796160008,17.833155580970924,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.21875,0.5,0.9742846130087589,"{0: 0.9742846130087589, 1: 0.9214071943910985}",137.02012436127671,18.03670603100909,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.275,0.5,0.9583496455488364,"{0: 0.9583496455488364, 1: 0.9553849180590391}",138.29276112766578,18.040705990977585,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.33125,0.5,0.9966011774185103,"{0: 0.9966011774185103, 1: 0.946913555081336}",138.7937049457648,17.577744296984747,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.3875,0.5,0.9850437051803155,"{0: 0.9850437051803155, 1: 0.9254295045393893}",137.47530822668438,17.707761041005142,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.44375,0.5,0.9739979788118157,"{0: 0.9739979788118157, 1: 0.9215784799469182}",137.02188070241888,17.824941141007002,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.5,0.5,0.9492263478371735,"{0: 0.9492263478371735, 1: 0.9070819724021432}",135.7105849451256,17.64396037097322,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.05,0.5,0.9199199392391862,"{0: 0.9199199392391862, 1: 0.8607014389102184}",132.67265234845289,20.01627484400524,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
10,1.10625,0.5,0.9492125617335501,"{0: 0.9492125617335501, 1: 0.8802935225445068}",134.38011151576126,20.139636365987823,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
