k,pof,lambda_param,max_welfare_cost,fcbc_objective,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost,group_0_avg_cost,group_1_avg_cost
13,1.21875,0.0,0.0003116299999999919,124.99604445341105,27.171823475975543,0.0003116299999999919,0.0,1.6663270332177575,1.5114955866406896,253.6153846153846,515.6153846153846
13,1.275,0.0,0.000267049999999979,124.19005139230394,24.992229219991717,0.000267049999999979,0.0,1.644253797086886,1.4923885723871788,253.6153846153846,515.6153846153846
13,1.33125,0.0,0.0002674399999999921,124.82940720132945,25.669789330044296,0.0002674399999999921,0.0,1.6377148828135892,1.5193597601832949,253.6153846153846,515.6153846153846
13,1.3875,0.0,0.0002420099999999879,124.73125963826988,25.57352470298065,0.0002420099999999879,0.0,1.6745931659285096,1.4975651911464483,253.6153846153846,515.6153846153846
13,1.44375,0.0,0.0003445799999999857,124.8175698183251,25.71443954796996,0.0003445799999999857,0.0,1.6321195999568063,1.5216702849107948,253.6153846153846,515.6153846153846
13,1.5,0.0,0.0003888399999999878,124.46568994646636,25.153875459975097,0.0003888399999999878,0.0,1.6386415344127725,1.505375866866032,253.6153846153846,515.6153846153846
14,1.05,0.0,0.005227629999999979,123.18740640521162,28.74976868700469,0.005227629999999979,0.0,1.605648874476231,1.4743687868752373,235.5,478.7857142857143
14,1.10625,0.0,0.0003435899999999918,123.39511169253448,27.39170088298852,0.0003435899999999918,0.0,1.6145603088699356,1.4776282439976718,235.5,478.7857142857143
14,1.1625,0.0,0.0003331799999999803,122.42930156114886,27.300627430027816,0.0003331799999999803,0.0,1.6145963384132211,1.4421857588031732,235.5,478.7857142857143
14,1.21875,0.0,0.000421379999999989,123.48418908565256,27.72391504701227,0.000421379999999989,0.0,1.652979246139613,1.4620125101007682,235.5,478.7857142857143
14,1.275,0.0,0.0003309299999999858,122.51441355492568,30.23962510400452,0.0003309299999999858,0.0,1.622807690610686,1.4412579267823806,235.5,478.7857142857143
14,1.33125,0.0,0.000291059999999985,122.65368551114416,42.66968311200617,0.000291059999999985,0.0,1.5952358244129847,1.4599140191646882,235.5,478.7857142857143
14,1.3875,0.0,0.0003120699999999898,122.57721858610664,39.02026698197005,0.0003120699999999898,0.0,1.5902903869176972,1.4595500365466245,235.5,478.7857142857143
14,1.44375,0.0,0.0002627799999999896,122.18077065190158,34.840549088025,0.0002627799999999896,0.0,1.6155926593187817,1.4326257723399707,235.5,478.7857142857143
14,1.5,0.0,0.0002938199999999939,122.81901923438303,59.03286910598399,0.0002938199999999939,0.0,1.6212222219838062,1.4531883152804452,235.5,478.7857142857143
15,1.05,0.0,0.005221849999999981,121.24528135781274,60.9371594429831,0.005221849999999981,0.0,1.5549852001778661,1.4284611907048579,219.8,446.8666666666667
15,1.10625,0.0,0.0002931199999999877,120.9338131736273,33.67984826496104,0.0002931199999999877,0.0,1.5752014223141633,1.407261769749248,219.8,446.8666666666667
15,1.1625,0.0,0.0003288799999999875,120.2937431190526,33.624219515011646,0.0003288799999999875,0.0,1.575975558501162,1.3838440424815333,219.8,446.8666666666667
15,1.21875,0.0,0.00033862999999998,121.7559153925472,32.33883525204146,0.00033862999999998,0.0,1.6311468597269492,1.4095117000260304,219.8,446.8666666666667
15,1.275,0.0,0.00027896999999998555,120.8445054234594,30.69698442198569,0.00027896999999998555,0.0,1.584984412307785,1.3992286201828001,219.8,446.8666666666667
15,1.33125,0.0,0.0002717899999999883,120.53292972245464,31.44144521205453,0.0002717899999999883,0.0,1.5771028644145306,1.3918836967349755,219.8,446.8666666666667
15,1.3875,0.0,0.00016999999999999435,121.59490845052996,31.219557803997304,0.00016999999999999435,0.0,1.606598296797988,1.4157406991407169,219.8,446.8666666666667
15,1.44375,0.0,0.00034885999999999067,120.6585124580965,32.57194467098452,0.00034885999999999067,0.0,1.5403811631695716,1.4144653064569663,219.8,446.8666666666667
15,1.5,0.0,0.0003819199999999843,121.1044330711429,31.51627195504261,0.0003819199999999843,0.0,1.5763954188121176,1.4128351296001191,219.8,446.8666666666667
